#,Country,GDP per capita,GNI per capita,Gini Coefficient,Poverty Rate
101,Gabon,"$8,017","$7,100",38,33.4%
102,Equatorial Guinea,"$8,462","$5,810",,76.8%
103,Dominican Republic,"$8,604","$8,220",39.6,21%
104,Mauritius,"$8,812","$10,860",36.8,10.3%
105,Maldives,"$8,995","$8,400",29.3,8.2%
106,Serbia,"$9,215","$8,440",34.5,23.2%
107,Montenegro,"$9,367","$9,300",36.8,24.5%
108,Guyana,"$9,375","$9,380",44.6,
109,Saint Lucia,"$9,571","$9,680",51.2,25%
110,Turkey,"$9,587","$9,830",41.9,14.4%
111,Mexico,"$9,926","$9,380",45.4,41.9%
112,Grenada,"$9,929","$9,630",,
113,Kazakhstan,"$10,041","$8,720",27.8,4.3%
114,Argentina,"$10,729","$10,050",42.3,35.5%
115,Malaysia,"$11,371","$10,930",41.1,5.6%
116,Bulgaria,"$11,635","$10,720",40.3,23.8%
117,Russia,"$12,173","$11,600",36,12.6%
118,Nauru,"$12,252","$19,470",,
119,Costa Rica,"$12,509","$12,310",49.3,21%
120,People's Republic of China,"$12,556","$11,890",38.2,13%
121,Seychelles,"$13,307","$13,260",32.1,25.3%
122,Panama,"$14,516","$14,010",49.8,22.1%
123,Romania,"$14,862","$14,170",34.8,23.8%
124,Antigua and Barbuda,"$14,901","$14,900",,
125,Trinidad and Tobago,"$15,243","$15,070",40.3,
126,Oman,"$16,439",,,
127,Chile,"$16,503","$15,000",44.9,8.6%
128,Uruguay,"$17,021","$15,800",40.2,8.8%
129,Barbados,"$17,034","$16,720",,
130,Croatia,"$17,399","$17,150",28.9,18.3%
131,Poland,"$17,841","$16,670",30.2,15.4%
132,Saint Kitts and Nevis,"$18,230","$18,560",,
133,Hungary,"$18,773","$17,740",30,12.3%
134,Greece,"$20,277","$20,140",33.1,17.9%
135,Latvia,"$20,642","$19,370",34.5,22.9%
136,Slovakia,"$21,088","$20,250",23.2,
137,Bahrain,"$22,232",,,
138,Lithuania,"$23,433","$21,610",35.3,20.6%
139,Saudi Arabia,"$23,586",,45.9,
140,Turks and Caicos Islands,"$24,047","$23,600",,
141,Portugal,"$24,262","$23,730",32.8,17.2%
142,Czech Republic,"$26,378","$24,070",25.3,10.1%
143,Estonia,"$27,281","$25,970",30.8,21.7%
144,The Bahamas,"$28,239","$27,220",,
145,Slovenia,"$29,201","$28,240",24.4,12%
146,Spain,"$30,116","$29,740",34.3,20.7%
147,Cyprus,"$30,798","$28,130",31.2,14.7%
148,Brunei,"$31,723",,,
149,Malta,"$33,257","$30,560",31,17.1%
150,South Korea,"$34,758","$34,980",31.4,
151,Italy,"$35,551","$35,710",35.2,20.1%
152,Japan,"$39,285","$42,620",32.9,15.7%
153,Andorra,"$43,048",,,
154,France,"$43,519","$43,880",32.4,13.6%
155,Macau,"$45,422",,35,
156,United Kingdom,"$47,334","$45,380",35.1,18.6%
157,New Zealand,"$48,802","$45,340",36.2,
158,Hong Kong,"$49,661","$54,450",53.9,
159,Germany,"$50,802","$51,040",31.7,14.8%
160,Israel,"$51,430","$49,560",38.6,16.9%
161,Belgium,"$51,768","$50,510",27.2,14.8%
162,Canada,"$52,051","$48,310",33.3,11.6%
163,Austria,"$53,268","$52,210",30.2,13.3%
164,Finland,"$53,983","$53,660",27.7,12.2%
165,Netherlands,"$58,061","$56,370",29.2,13.6%
166,Australia,"$59,934","$56,760",34.3,12.4%
167,Sweden,"$60,239","$58,890",29.3,17.1%
168,Qatar,"$61,276","$57,120",41.1,
169,Denmark,"$67,803","$68,110",27.7,12.5%
170,Iceland,"$68,384","$64,410",26.1,8.8%
171,United States of America,"$69,288","$70,430",41.5,17.8%
172,Singapore,"$72,794","$64,010",45.9,
173,Norway,"$89,203","$84,090",27.7,12.7%
174,Switzerland,"$93,457","$90,360",33.1,16%
175,Ireland,"$99,152","$74,520",30.6,13.1%
176,Bermuda,"$110,869","$116,540",,
177,Luxembourg,"$135,683",,34.2,17.5%
